y,H/D,sigma_R,Esr/Ei
0.489,1.999,0.999,1
0.545,1.891,0.945,1
0.606,1.786,0.893,1
0.678,1.688,0.844,1
0.757,1.596,0.798,1
0.842,1.508,0.754,1
0.930,1.425,0.712,1
1.021,1.344,0.672,1
1.117,1.269,0.635,1
1.217,1.201,0.600,1
1.322,1.138,0.569,1
1.431,1.084,0.542,1
1.540,1.032,0.516,1
1.652,0.982,0.491,1
1.765,0.938,0.469,1
1.880,0.899,0.449,1
1.996,0.861,0.430,1
2.111,0.824,0.412,1
2.228,0.788,0.394,1
2.344,0.753,0.377,1
2.461,0.719,0.360,1
0.444,1.996,0.998,2
0.492,1.881,0.940,2
0.556,1.773,0.887,2
0.628,1.670,0.835,2
0.709,1.575,0.788,2
0.794,1.483,0.742,2
0.885,1.397,0.698,2
0.973,1.308,0.654,2
1.070,1.229,0.614,2
1.175,1.161,0.581,2
1.284,1.099,0.550,2
1.396,1.042,0.521,2
1.510,0.991,0.495,2
1.626,0.944,0.472,2
1.744,0.901,0.450,2
1.862,0.861,0.431,2
1.982,0.823,0.412,2
2.102,0.787,0.393,2
2.221,0.750,0.375,2
2.341,0.714,0.357,2
2.461,0.677,0.339,2
0.413,1.996,0.998,3
0.455,1.875,0.938,3
0.509,1.759,0.879,3
0.574,1.648,0.824,3
0.652,1.546,0.773,3
0.742,1.455,0.728,3
0.834,1.367,0.684,3
0.928,1.280,0.640,3
1.030,1.202,0.601,3
1.136,1.130,0.565,3
1.249,1.070,0.535,3
1.365,1.016,0.508,3
1.484,0.967,0.483,3
1.603,0.920,0.460,3
1.723,0.876,0.438,3
1.845,0.835,0.418,3
1.967,0.797,0.398,3
2.090,0.760,0.380,3
2.213,0.725,0.363,3
2.336,0.689,0.345,3
2.459,0.651,0.326,3
0.380,1.995,0.998,4
0.421,1.871,0.935,4
0.476,1.752,0.876,4
0.541,1.639,0.819,4
0.618,1.533,0.766,4
0.706,1.436,0.718,4
0.797,1.342,0.671,4
0.893,1.253,0.626,4
0.996,1.173,0.587,4
1.107,1.103,0.552,4
1.223,1.043,0.521,4
1.343,0.990,0.495,4
1.464,0.941,0.470,4
1.586,0.893,0.446,4
1.708,0.846,0.423,4
1.832,0.804,0.402,4
1.957,0.766,0.383,4
2.083,0.729,0.365,4
2.208,0.693,0.346,4
2.334,0.656,0.328,4
2.460,0.620,0.310,4
0.342,1.996,0.998,5
0.387,1.874,0.937,5
0.439,1.755,0.878,5
0.498,1.640,0.820,5
0.571,1.532,0.766,5
0.654,1.432,0.716,5
0.743,1.338,0.669,5
0.835,1.246,0.623,5
0.939,1.167,0.584,5
1.048,1.096,0.548,5
1.163,1.036,0.518,5
1.281,0.982,0.491,5
1.400,0.931,0.466,5
1.522,0.885,0.442,5
1.644,0.841,0.421,5
1.767,0.800,0.400,5
1.891,0.759,0.379,5
2.015,0.721,0.361,5
2.140,0.686,0.343,5
2.265,0.649,0.325,5
2.389,0.611,0.306,5
0.312,1.999,1.000,7
0.351,1.876,0.938,7
0.397,1.756,0.878,7
0.453,1.640,0.820,7
0.522,1.531,0.765,7
0.601,1.429,0.714,7
0.685,1.332,0.666,7
0.774,1.238,0.619,7
0.876,1.160,0.580,7
0.984,1.089,0.545,7
1.096,1.025,0.513,7
1.212,0.970,0.485,7
1.329,0.914,0.457,7
1.447,0.864,0.432,7
1.568,0.818,0.409,7
1.691,0.779,0.390,7
1.815,0.745,0.373,7
1.940,0.712,0.356,7
2.065,0.679,0.339,7
2.189,0.646,0.323,7
2.313,0.611,0.305,7
0.277,1.997,0.999,10
0.313,1.878,0.939,10
0.356,1.761,0.880,10
0.407,1.647,0.824,10
0.468,1.539,0.769,10
0.540,1.437,0.718,10
0.613,1.336,0.668,10
0.695,1.242,0.621,10
0.787,1.158,0.579,10
0.888,1.085,0.543,10
0.995,1.021,0.511,10
1.107,0.966,0.483,10
1.221,0.915,0.457,10
1.336,0.866,0.433,10
1.451,0.820,0.410,10
1.569,0.779,0.390,10
1.689,0.745,0.373,10
1.809,0.713,0.356,10
1.930,0.681,0.340,10
2.050,0.646,0.323,10
2.169,0.609,0.304,10
0.243,1.998,0.999,15
0.274,1.882,0.941,15
0.307,1.767,0.883,15
0.351,1.656,0.828,15
0.408,1.550,0.775,15
0.469,1.446,0.723,15
0.537,1.348,0.674,15
0.614,1.256,0.628,15
0.699,1.171,0.586,15
0.790,1.093,0.547,15
0.888,1.025,0.512,15
0.993,0.966,0.483,15
1.101,0.913,0.457,15
1.210,0.863,0.432,15
1.320,0.816,0.408,15
1.433,0.775,0.388,15
1.546,0.737,0.368,15
1.661,0.701,0.350,15
1.777,0.670,0.335,15
1.894,0.643,0.322,15
2.010,0.615,0.308,15
0.205,2.000,1.000,25
0.225,1.889,0.944,25
0.256,1.780,0.890,25
0.291,1.672,0.836,25
0.333,1.567,0.784,25
0.384,1.466,0.733,25
0.445,1.371,0.686,25
0.511,1.279,0.640,25
0.584,1.192,0.596,25
0.663,1.112,0.556,25
0.750,1.039,0.520,25
0.844,0.976,0.488,25
0.942,0.920,0.460,25
1.043,0.869,0.435,25
1.148,0.826,0.413,25
1.254,0.786,0.393,25
1.361,0.748,0.374,25
1.468,0.713,0.357,25
1.577,0.682,0.341,25
1.685,0.649,0.325,25
1.793,0.614,0.307,25
